case_name,axis,scenario_name,train_groups,eval_groups,group_size,max_steps,seed,group_correlation,critic_correlation,critic_minus_group_correlation,group_calibrated_mse,critic_calibrated_mse,critic_minus_group_calibrated_mse,wait_token_fraction,success_rate,zero_variance_group_fraction,critic_exact_state_rate,train_trajectories,critic_is_privileged
group_size_02_long_wait,group_size,long_wait,140,32,2,12,307,0.18666206463437543,0.9090560975661839,0.7223940329318085,0.026084837913309178,0.00469226283336583,-0.021392575079943348,0.5330188679245284,0.671875,0.0625,0.9976415094339622,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,359,0.21238655691897226,0.8725980042235907,0.6602114473046184,0.02568996095350993,0.006418447591122916,-0.019271513362387013,0.45295404814004375,0.625,0.0,0.9781181619256017,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,401,0.1945199845363042,0.9169744319548899,0.7224544474185857,0.023620036683242633,0.003907154223977025,-0.01971288245926561,0.5278350515463918,0.671875,0.0625,1.0,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,463,0.18383759283567194,0.9156364518284779,0.731798858992806,0.021818893288157844,0.003649487947917129,-0.018169405340240714,0.49557522123893805,0.609375,0.0625,0.9977876106194691,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,509,0.2225144135325165,0.8485303032035894,0.6260158896710728,0.02770480463196291,0.008161332799775415,-0.019543471832187492,0.5152941176470588,0.65625,0.125,0.9882352941176471,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,571,0.24711086316319245,0.9527076900744414,0.705596826911249,0.03489327828861139,0.0034318906744864788,-0.03146138761412491,0.5361305361305362,0.65625,0.0625,0.993006993006993,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,631,0.21421391156508374,0.9082096731178363,0.6939957615527526,0.0270440150807326,0.00496471861181861,-0.02207929646891399,0.4924406047516199,0.640625,0.0,1.0,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,701,0.26326343233283345,0.9348546026632247,0.6715911703303913,0.027707111415056964,0.0037524695090248887,-0.023954641906032074,0.4880174291938998,0.609375,0.0625,0.9912854030501089,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,761,0.2251927840006845,0.9291320982810287,0.7039393142803443,0.026957951638320918,0.0038824005891854915,-0.023075551049135425,0.48997772828507796,0.671875,0.03125,0.9933184855233853,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,823,0.206607039629546,0.9054041433800789,0.6987971037505329,0.023713739237065275,0.004464831381991914,-0.019248907855073362,0.4978540772532189,0.6875,0.0625,1.0,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,887,0.20301139540630236,0.8497005217512109,0.6466891263449086,0.016926901265224233,0.004908112400967572,-0.012018788864256662,0.5369978858350951,0.734375,0.03125,0.9978858350951374,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,947,0.18678135401434884,0.8847109605431234,0.6979296065287746,0.023815796011328452,0.005361913908907379,-0.018453882102421073,0.5418502202643172,0.703125,0.03125,0.9977973568281938,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,11,0.27336833076560835,0.8546201706228124,0.581251839857204,0.023475311075079178,0.006840724857007977,-0.0166345862180712,0.48824786324786323,0.6796875,0.0,0.9946581196581197,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,29,0.30461435454971925,0.8578761297226486,0.5532617751729294,0.0219823010587667,0.006398071037152867,-0.015584230021613833,0.4954954954954955,0.734375,0.0,0.9966216216216216,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,47,0.26494206328600556,0.8606204184210378,0.5956783551350322,0.02346655229364038,0.006545065860929902,-0.016921486432710478,0.4811111111111111,0.65625,0.0,0.9944444444444445,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,83,0.2996585336673042,0.9279934235626014,0.6283348898952972,0.022148859334372627,0.0033782358945694704,-0.018770623439803156,0.5033185840707964,0.6640625,0.0,1.0,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,131,0.32278007707781964,0.9331637309823418,0.6103836539045222,0.02538933619895881,0.0036619702535476777,-0.021727365945411133,0.5240825688073395,0.625,0.0,0.9988532110091743,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,173,0.3325385425257553,0.8072105435263833,0.474672001000628,0.024884374423531086,0.009747938622892697,-0.015136435800638389,0.4649321266968326,0.65625,0.0,0.9898190045248869,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,211,0.2908706427956749,0.8812608325156751,0.5903901897200001,0.025682270735589194,0.006267123369900593,-0.0194151473656886,0.507057546145494,0.609375,0.0,0.996742671009772,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,257,0.30832665862361536,0.8875411649485595,0.5792145063249441,0.021447073107739113,0.00503084360313083,-0.016416229504608283,0.5332606324972737,0.6640625,0.0,0.9934569247546347,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,307,0.33084796023623037,0.911756212669665,0.5809082524334346,0.02510486136317453,0.004755774210216075,-0.020349087152958457,0.4954545454545455,0.640625,0.0,0.9943181818181818,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,359,0.28898632494016424,0.8954435991591926,0.6064572742190284,0.02872753947247234,0.006212031619408965,-0.022515507853063374,0.4711211778029445,0.609375,0.0,0.9977349943374858,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,401,0.29784504523004385,0.917707678812642,0.6198626335825982,0.021906512223013205,0.0037936665012070943,-0.01811284572180611,0.5436382754994742,0.65625,0.0,0.9989484752891693,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,463,0.2928744823247019,0.9012566684161871,0.6083821860914852,0.027267150933904312,0.00559932163806835,-0.021667829295835963,0.4867444326617179,0.5703125,0.0,0.9978791092258749,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,509,0.2996674220682712,0.8907432093695613,0.5910757873012902,0.02782933083946853,0.006316073716151439,-0.02151325712331709,0.516245487364621,0.6171875,0.0,0.9951865222623345,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,571,0.3207822920180061,0.9146489002621107,0.5938666082441045,0.025615613291559033,0.004666193975691544,-0.02094941931586749,0.5139977603583427,0.6875,0.0,0.9955207166853304,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,631,0.3031618782510345,0.8380151256961524,0.534853247445118,0.020824699854048754,0.006827662204731584,-0.01399703764931717,0.48488120950323976,0.6796875,0.0,0.9989200863930886,840,False
group_size_04_long_wait,group_size,long_wait,140,32,4,12,701,0.2907792722067661,0.9315844711018673,0.6408051988951011,0.02282749897755657,0.003295287594019995,-0.019532211383536575,0.5167206040992449,0.6875,0.0,0.9924487594390508,840,False
